Obs,Value,Weight,Group
mod_obs1_1,174,1,mod_group
mod_obs1_2,2570,1,mod_group
mod_obs1_3,999999,0,mod_group
mod_obs1_4,999999,0,mod_group
mod_obs1_5,999999,0,mod_group
mod_obs1_6,999999,0,mod_group
mod_obs1_7,999999,0,mod_group
mod_obs2_1,221,1,mod_group
mod_obs2_2,4650,1,mod_group
mod_obs2_3,999999,0,mod_group
mod_obs2_4,999999,0,mod_group
mod_obs2_5,999999,0,mod_group
mod_obs2_6,999999,0,mod_group
mod_obs2_7,999999,0,mod_group
mod_obs3_1,747,1,mod_group
mod_obs3_2,14700,1,mod_group
mod_obs3_3,999999,0,mod_group
mod_obs3_4,999999,0,mod_group
mod_obs3_5,999999,0,mod_group
mod_obs3_6,999999,0,mod_group
mod_obs3_7,999999,0,mod_group
mod_obs4_1,230,1,mod_group
mod_obs4_2,3420,1,mod_group
mod_obs4_3,999999,0,mod_group
mod_obs4_4,999999,0,mod_group
mod_obs4_5,999999,0,mod_group
mod_obs4_6,999999,0,mod_group
mod_obs4_7,999999,0,mod_group
mod_obs5_1,695,1,mod_group
mod_obs5_2,11600,1,mod_group
mod_obs5_3,999999,0,mod_group
mod_obs5_4,999999,0,mod_group
mod_obs5_5,999999,0,mod_group
mod_obs5_6,999999,0,mod_group
mod_obs5_7,999999,0,mod_group
mod_obs6_1,124,1,mod_group
mod_obs6_2,2350,1,mod_group
mod_obs6_3,999999,0,mod_group
mod_obs6_4,999999,0,mod_group
mod_obs6_5,999999,0,mod_group
mod_obs6_6,999999,0,mod_group
mod_obs6_7,999999,0,mod_group
mod_obs7_1,363,1,mod_group
mod_obs7_2,6700,1,mod_group
mod_obs7_3,999999,0,mod_group
mod_obs7_4,999999,0,mod_group
mod_obs7_5,999999,0,mod_group
mod_obs7_6,999999,0,mod_group
mod_obs7_7,999999,0,mod_group
mod_obs8_1,169,1,mod_group
mod_obs8_2,3000,1,mod_group
mod_obs8_3,999999,0,mod_group
mod_obs8_4,999999,0,mod_group
mod_obs8_5,999999,0,mod_group
mod_obs8_6,999999,0,mod_group
mod_obs8_7,999999,0,mod_group
mod_obs9_1,23.4,1,mod_group
mod_obs9_2,287,1,mod_group
mod_obs9_3,999999,0,mod_group
mod_obs9_4,999999,0,mod_group
mod_obs9_5,999999,0,mod_group
mod_obs9_6,999999,0,mod_group
mod_obs9_7,999999,0,mod_group
mod_obs10_1,60.6,1,mod_group
mod_obs10_2,1010,1,mod_group
mod_obs10_3,999999,0,mod_group
mod_obs10_4,999999,0,mod_group
mod_obs10_5,999999,0,mod_group
mod_obs10_6,999999,0,mod_group
mod_obs10_7,999999,0,mod_group
mod_obs11_1,377,1,mod_group
mod_obs11_2,5590,1,mod_group
mod_obs11_3,999999,0,mod_group
mod_obs11_4,999999,0,mod_group
mod_obs11_5,999999,0,mod_group
mod_obs11_6,999999,0,mod_group
mod_obs11_7,999999,0,mod_group
mod_obs12_1,202,1,mod_group
mod_obs12_2,3410,1,mod_group
mod_obs12_3,521,0.0019194,mod_group
mod_obs12_4,60,0.0166667,mod_group
mod_obs12_5,15.1,0.0662252,mod_group
mod_obs12_6,999999,0,mod_group
mod_obs12_7,51.4,1,mod_group
mod_obs13_1,335,1,mod_group
mod_obs13_2,5160,0.0001938,mod_group
mod_obs13_3,1290,0.0007752,mod_group
mod_obs13_4,55.5,0.018018,mod_group
mod_obs13_5,1.9,0.5263158,mod_group
mod_obs13_6,999999,0,mod_group
mod_obs13_7,18.3,0.0546448,mod_group
mod_obs14_1,101,1,mod_group
mod_obs14_2,652,1,mod_group
mod_obs14_3,1280,0.0007813,mod_group
mod_obs14_4,35.8,0.027932,mod_group
mod_obs14_5,9.5,0.1052632,mod_group
mod_obs14_6,999999,0,mod_group
mod_obs14_7,5.9,0.1694915,mod_group
mod_obs15_1,461,1,mod_group
mod_obs15_2,4060,1,mod_group
mod_obs15_3,2290,0.0004367,mod_group
mod_obs15_4,75.3,0.0132797,mod_group
mod_obs15_5,6.98,0.1432665,mod_group
mod_obs15_6,95.5,0.0104712,mod_group
mod_obs15_7,10.8,0.0925926,mod_group
mod_obs16_1,226,1,mod_group
mod_obs16_2,1720,1,mod_group
mod_obs16_3,892,0.0011211,mod_group
mod_obs16_4,41.1,0.024331,mod_group
mod_obs16_5,3.43,0.2915452,mod_group
mod_obs16_6,37.8,0.026455,mod_group
mod_obs16_7,7.07,0.141398,mod_group
mod_obs17_1,442,1,mod_group
mod_obs17_2,6050,1,mod_group
mod_obs17_3,1920,0.0005208,mod_group
mod_obs17_4,26.6,0.0375939,mod_group
mod_obs17_5,4.01,0.2493766,mod_group
mod_obs17_6,69,0.0144928,mod_group
mod_obs17_7,9.58,0.1041825,mod_group
